season,week,game_id,matchup,market,selection,line,price,model_prob,ev,stake_pct,result,profit,confidence
2015,9,2015_09_ATL_SF,ATL @ SF,TOTAL,over,43.5,1.9091,0.551393,5.27,1,lose,-1,0.95
2015,9,2015_09_PHI_DAL,PHI @ DAL,TOTAL,under,43.5,1.9434,0.530314,3.06,1,lose,-1,0.95
2015,9,2015_09_CHI_SD,CHI @ SD,TOTAL,under,49.0,1.9091,0.545633,4.17,1,win,0.9091,0.6162
2015,10,2015_10_CLE_PIT,CLE @ PIT,SPREAD,CLE,7.0,1.9524,0.53556,4.56,1,lose,-1,0.95
2015,10,2015_10_CLE_PIT,CLE @ PIT,TOTAL,under,43.5,2.01,0.537316,8.0,1,win,1.0099999999999998,0.95
2015,10,2015_10_CHI_STL,CHI @ STL,SPREAD,CHI,7.5,1.9804,0.538131,6.57,1,win,0.9803999999999999,0.6162
2015,10,2015_10_NE_NYG,NE @ NYG,SPREAD,NYG,7.0,1.9434,0.535926,4.15,1,win,0.9434,0.95
2015,11,2015_11_WAS_CAR,WAS @ CAR,TOTAL,over,44.0,1.9709,0.54245,6.91,1,win,0.9709000000000001,0.95
2015,11,2015_11_NYJ_HOU,NYJ @ HOU,SPREAD,NYJ,-4.0,1.9709,0.536618,5.76,1,lose,-1,0.83
2015,11,2015_11_KC_SD,KC @ SD,TOTAL,over,45.5,1.9174,0.550102,5.48,1,lose,-1,0.6162
2015,11,2015_11_CIN_ARI,CIN @ ARI,TOTAL,over,48.0,1.885,0.55452,4.53,1,win,0.885,0.95
2015,12,2015_12_PHI_DET,PHI @ DET,SPREAD,PHI,3.0,1.9174,0.540766,3.69,1,lose,-1,0.95
2015,12,2015_12_PHI_DET,PHI @ DET,TOTAL,under,46.5,1.9091,0.551393,5.27,1,lose,-1,0.95
2015,12,2015_12_CAR_DAL,CAR @ DAL,SPREAD,CAR,-1.0,1.9524,0.53328,4.12,1,win,0.9523999999999999,0.95
2015,12,2015_12_CAR_DAL,CAR @ DAL,TOTAL,over,44.5,1.9091,0.543248,3.71,1,win,0.9091,0.95
2015,12,2015_12_SD_JAX,SD @ JAX,TOTAL,under,47.0,1.9524,0.540815,5.59,1,lose,-1,0.6162
2015,12,2015_12_NE_DEN,NE @ DEN,TOTAL,under,43.0,1.9434,0.536704,4.3,1,lose,-1,0.83
2015,13,2015_13_HOU_BUF,HOU @ BUF,TOTAL,over,42.0,1.9524,0.54068,5.56,1,win,0.9523999999999999,0.95
2015,13,2015_13_CIN_CLE,CIN @ CLE,SPREAD,CLE,7.5,1.8696,0.559482,4.6,1,lose,-1,0.95
2015,13,2015_13_SEA_MIN,SEA @ MIN,TOTAL,over,43.0,1.9524,0.532805,4.02,1,win,0.9523999999999999,0.95
2015,13,2015_13_NYJ_NYG,NYJ @ NYG,SPREAD,NYG,2.0,1.9524,0.52644,2.78,1,lose,-1,0.95
2015,13,2015_13_ATL_TB,ATL @ TB,TOTAL,under,46.5,1.9434,0.532699,3.52,1,win,0.9434,0.95
2015,13,2015_13_KC_OAK,KC @ OAK,TOTAL,over,45.5,1.9615,0.533676,4.68,1,win,0.9615,0.6162
2015,14,2015_14_MIN_ARI,MIN @ ARI,SPREAD,MIN,10.0,1.9524,0.52908,3.3,1,win,0.9523999999999999,0.95
2015,14,2015_14_SEA_BAL,SEA @ BAL,SPREAD,BAL,10.5,1.8475,0.565004,4.38,1,lose,-1,0.95
2015,14,2015_14_ATL_CAR,ATL @ CAR,SPREAD,ATL,8.5,1.9901,0.537754,7.02,1,lose,-1,0.95
2015,14,2015_14_PIT_CIN,PIT @ CIN,TOTAL,over,49.0,1.9524,0.54095,5.62,1,win,0.9523999999999999,0.95
2015,14,2015_14_NO_TB,NO @ TB,SPREAD,NO,6.0,1.9804,0.532411,5.44,1,win,0.9803999999999999,0.95
2015,14,2015_14_NE_HOU,NE @ HOU,TOTAL,over,46.0,1.9524,0.545,6.41,1,lose,-1,0.95
2015,14,2015_14_NYG_MIA,NYG @ MIA,SPREAD,MIA,2.5,1.9174,0.542046,3.93,1,lose,-1,0.95
2015,15,2015_15_NYJ_DAL,NYJ @ DAL,TOTAL,under,41.0,1.885,0.55452,4.53,1,win,0.885,0.83
2015,15,2015_15_KC_BAL,KC @ BAL,SPREAD,BAL,6.5,1.9524,0.54532,6.47,1,lose,-1,0.95
2015,15,2015_15_CHI_MIN,CHI @ MIN,SPREAD,CHI,4.0,1.9524,0.5266,2.81,1,lose,-1,0.95
2015,15,2015_15_CHI_MIN,CHI @ MIN,TOTAL,over,43.5,1.9259,0.53966,3.93,1,win,0.9259,0.95
2015,15,2015_15_CAR_NYG,CAR @ NYG,TOTAL,over,46.5,1.9615,0.543711,6.65,1,win,0.9615,0.95
2015,15,2015_15_GB_OAK,GB @ OAK,SPREAD,OAK,4.0,1.9615,0.543394,6.59,1,lose,-1,0.6162
2015,15,2015_15_DET_NO,DET @ NO,TOTAL,under,52.0,1.9804,0.532205,5.4,1,lose,-1,0.95
2015,16,2015_16_SD_OAK,SD @ OAK,SPREAD,SD,4.0,1.9524,0.52692,2.88,1,win,0.9523999999999999,0.27
2015,16,2015_16_SD_OAK,SD @ OAK,TOTAL,under,45.0,2.0,0.538607,7.72,1,win,1.0,0.27
2015,16,2015_16_WAS_PHI,WAS @ PHI,SPREAD,WAS,3.5,1.9901,0.527794,5.04,1,win,0.9901,0.95
2015,16,2015_16_WAS_PHI,WAS @ PHI,TOTAL,under,48.0,1.9709,0.53363,5.17,1,lose,-1,0.95
2015,16,2015_16_CAR_ATL,CAR @ ATL,SPREAD,ATL,7.0,1.885,0.556025,4.81,1,win,0.885,0.95
2015,16,2015_16_DAL_BUF,DAL @ BUF,TOTAL,under,42.0,1.9091,0.551393,5.27,1,win,0.9091,0.83
2015,16,2015_16_CLE_KC,CLE @ KC,SPREAD,CLE,11.5,1.9709,0.537818,6.0,1,win,0.9709000000000001,0.95
2015,16,2015_16_NE_NYJ,NE @ NYJ,TOTAL,over,45.5,1.9091,0.551123,5.21,1,win,0.9091,0.95
2015,16,2015_16_CHI_TB,CHI @ TB,TOTAL,over,44.0,1.9259,0.54884,5.7,1,win,0.9259,0.95
